台湾菜,JOY TOWN 忠义堂,JOY TOWN 忠义堂,0,左营车站,0.0,0.0,0.0
台湾菜,IKEA 宜家家居餐厅,IKEA 宜家家居餐厅(高雄店),0,梦时代商圈,0.0,0.0,0.0
台湾菜,雅宴招待会馆,雅宴招待会馆,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,隐居食堂,隐居食堂,0,三多商圈,0.0,0.0,0.0
台湾菜,大渔100热炒,大渔100热炒(明诚分店),0,金狮湖,0.0,0.0,0.0
台湾菜,螺肉嫂,螺肉嫂,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,Pasadena帕莎蒂娜义大利屋,Pasadena帕莎蒂娜义大利屋,0,左营车站,0.0,0.0,0.0
台湾菜,高雄。阿国鹅肉 ,高雄。阿国鹅肉 (自强店),0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,薄多义 Bite 2 Eat,薄多义 Bite 2 Eat(裕诚店),0,左营车站,0.0,0.0,0.0
台湾菜,度小月,度小月,0,真爱码头,0.0,0.0,0.0
台湾菜,顺和排骨大王,顺和排骨大王,0,西子湾景区,0.0,0.0,0.0
台湾菜,南丰鲁肉饭,南丰鲁肉饭,0,高雄国际机场,0.0,0.0,0.0
台湾菜,郭老师养生料理(SOGO百货),郭老师养生料理(SOGO百货),0,梦时代商圈,0.0,0.0,0.0
台湾菜,阿贵食堂,阿贵食堂,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,台湾农业港都风味餐厅,台湾农业港都风味餐厅,0,左营车站,0.0,0.0,0.0
台湾菜,盐埕冬粉肉,盐埕冬粉肉,0,真爱码头,0.0,0.0,0.0
台湾菜,洪记阿嬷,洪记阿嬷,0,高雄近郊,0.0,0.0,0.0
台湾菜,牛村,牛村,0,高雄近郊,0.0,0.0,0.0
台湾菜,窝有fu,窝有fu,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,哇好菜创义厨房,哇好菜创义厨房,0,三多商圈,0.0,0.0,0.0
台湾菜,大八大饭店-金钻厅,大八大饭店-金钻厅,0,左营车站,0.0,0.0,0.0
台湾菜,VASIR肉燥饭店,VASIR肉燥饭店(美术馆店),0,左营车站,0.0,0.0,0.0
台湾菜,福客来中餐厅,福客来中餐厅,0,高雄火车站,0.0,0.0,0.0
台湾菜,大渔市场,大渔市场(中山店),0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,来厝吃饭,来厝吃饭,0,高雄火车站,0.0,0.0,0.0
台湾菜,汉来大饭店国际宴会厅,汉来大饭店国际宴会厅,0,左营车站,0.0,0.0,0.0
台湾菜,高雄义大皇冠假日饭店-CASA FONTANA 义大利餐厅,高雄义大皇冠假日饭店-CASA FONTANA 义大利餐厅,0,义大世界,0.0,0.0,0.0
台湾菜,六堆美食,六堆美食,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,鹿港肉圆,鹿港肉圆,0,真爱码头,0.0,0.0,0.0
台湾菜,e'tage15 悦品西餐厅,e'tage15 悦品西餐厅,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,左营四海一家餐厅,左营四海一家餐厅,0,左营车站,0.0,0.0,0.0
台湾菜,侯家小料理,侯家小料理,0,苓雅区捷运沿线,0.0,0.0,0.0
台湾菜,王品羊肉小吃店,王品羊肉小吃店,0,高雄国际机场,0.0,0.0,0.0
台湾菜,老婆的菜新食尚料理,老婆的菜新食尚料理(高雄明仁店),0,金狮湖,0.0,0.0,0.0
台湾菜,南北楼餐厅,南北楼餐厅,0,金狮湖,0.0,0.0,0.0
台湾菜,大连香菇肉羹,大连香菇肉羹,0,高雄火车站,0.0,0.0,0.0
台湾菜,Zoe Pizza & Pasta,Zoe Pizza & Pasta,0,中央公园/美丽岛,0.0,0.0,0.0
台湾菜,忠孝炒鳝鱼意面,忠孝炒鳝鱼意面,0,三多商圈,0.0,0.0,0.0
台湾菜,爱上布诺阁,爱上布诺阁,0,高雄近郊,0.0,0.0,0.0
