冰淇淋,Fassi 1880
意大利菜,Trattoria Moderna
意大利菜,Osteria del Sostegno
意大利菜,La Taverna del Grano
意大利菜,Cafe Romano
意大利菜,Osteria Gran Sasso
意大利菜,la tana della volpe
意大利菜,Piccolo Continente
意大利菜,La Gattabuia
意大利菜,Cozze & Dintorni
意大利菜,Bruno alla Lungaretta
意大利菜,Il Piatto
意大利菜,PRISCO ristorante in ROMA
意大利菜,Evangelista
意大利菜,Ai Balestrari
意大利菜,Da Giovanna
意大利菜,IL POZZO DEI DESIDERI
意大利菜,Antica Hosteria Due Colonne
意大利菜,Da Fortunato Al Pantheon
意大利菜,Clemente Alla Maddalena
意大利菜,zafferino
意大利菜,Profumo di Mirto
意大利菜,Gelateria ICE 2000
意大利菜,Villa Grant
意大利菜,Grazia & Graziella
意大利菜,Il Quagliaro
意大利菜,Ristochicco
意大利菜,Dodo Ristorante
意大利菜,Disco Volante
意大利菜,Perfetto Rinascente Roma
意大利菜,Bar Alfredo e Lia
意大利菜,TRATTORIA GINO E PIETRO
意大利菜,Ristorante Al Braciere
意大利菜,Flavio Al Velavevodetto
意大利菜,Ristorante Borgo Antico
意大利菜,Trattoria sul Tetto
意大利菜,L'Antica Griglia Toscana
意大利菜,Capitello
意大利菜,All'Oro
意大利菜,Otto e Mezzo
意大利菜,Enoteca Corsi
意大利菜,Sapore di Mare
意大利菜,Eco Blu
意大利菜,Osteria La Gensola
意大利菜,Il Giardino pamphili
意大利菜,L'Osteria di Cicerone
意大利菜,Bufala e Pachino
意大利菜,Ristorante Da Vincenzo
意大利菜,Al Gran Sasso
意大利菜,Foodoo
意大利菜,La Scaletta degli Artisti
意大利菜,Casa Bleve
意大利菜,Il Girasole Ai Quintili
意大利菜,Osteria Giuda Ballerino!
意大利菜,La Taverna del Gatto e la Volpe
意大利菜,AkBar
意大利菜,Enoteca al Parliamento Achilli
意大利菜,Krugh
意大利菜,Piacere Molise
意大利菜,Osteria delle Commari
意大利菜,The Flow Lounge Bar & Restaurant
意大利菜,Picolo Bucco
意大利菜,Antica Osteria Brunetti
意大利菜,Porto di Ripetta
意大利菜,Il Melarancio
意大利菜,Ninfeo
意大利菜,Le Lanterne
意大利菜,Pizzeria Stravinskij
意大利菜,Il Pozzetto Ristorante
意大利菜,Falcone
意大利菜,Da Vicenza
意大利菜,Al Boschetto
意大利菜,'nzi Capito
意大利菜,Trattoria Polese
意大利菜,Osteria del Pavone
意大利菜,Vino e Camino
意大利菜,Ponte Vittorio
意大利菜,Spiriti e Forme
意大利菜,Ristorante I Nobili
意大利菜,La Pentolaccia
意大利菜,L'Abruzzese
意大利菜,La Mela D'Oro
意大利菜,LasaGnaM Via Frangipane
意大利菜,Trattoria Pizzeria Da Simonetta
意大利菜,Ristorante Pizzeria Le Cupole
意大利菜,Baia Chia
意大利菜,Da Peppe Guadagnolo
意大利菜,La Taverna del Re
意大利菜,Dilla
意大利菜,P & P RISTORANTE PIZZERIA
意大利菜,081 Cafe
意大利菜,Il Cantico
意大利菜,Ristorante Da Nino
意大利菜,Bar Ambra Jovinelli Bistrò
意大利菜,Sa Tanca Crostaceria
意大利菜,Naumachia
意大利菜,Ristorante Roof Garden Hotel Forum Roma
意大利菜,Il Catanese
意大利菜,Steak House
意大利菜,Dolci & Dolcezze
意大利菜,toNY Goodfood
意大利菜,DivinPeccato
意大利菜,"0,75 - zerosettantacinque"
意大利菜,Cavour 313
意大利菜,Taverna del Seminario
意大利菜,Camedda1970
意大利菜,Cucina Pepe
意大利菜,LasaGnaM Via Nazionale
